UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,200232417,01/23/2020,42 WADDELL ST NE,602,Inman Park,N,33.75469,-84.36302,
LARCENY-FROM VEHICLE,200232489,01/23/2020,1178 MORLEY AVE SE,607,Boulevard Heights,W,33.72257,-84.365,
LARCENY-NON VEHICLE,200230324,01/23/2020,1634 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70965,-84.37962,
LARCENY-NON VEHICLE,200230787,01/23/2020,1184 SPRING ST NW,502,Midtown,E,33.78697,-84.38959,
LARCENY-NON VEHICLE,200231098,01/23/2020,3500 PEACHTREE RD NE @PHIPPS PLAZA,208,North Buckhead,B,33.85302,-84.36278,
LARCENY-NON VEHICLE,200231224,01/23/2020,2310 MARTIN L KING JR DR SW,405,Florida Heights,I,33.75121,-84.46544,
LARCENY-NON VEHICLE,200231637,01/23/2020,2452 MOROSGO WAY NE,211,Lindbergh/Morosgo,B,33.82295,-84.36559,
LARCENY-NON VEHICLE,200231977,01/23/2020,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521,
LARCENY-NON VEHICLE,200232229,01/23/2020,1210 CAROLINE ST NE,609,Edgewood,O,33.75938,-84.34863,
LARCENY-NON VEHICLE,200230529,01/23/2020,2116 ARLINGTON AVE NE,613,Lindridge/Martin Manor,F,33.81272,-84.34898,
LARCENY-NON VEHICLE,200230653,01/23/2020,3240 W MANOR CIR SW @Multiple,406,West Manor,I,33.73555,-84.49222,
LARCENY-NON VEHICLE,200230706,01/23/2020,26 PEACHTREE ST SW,511,Downtown,M,33.75353,-84.39032,
LARCENY-NON VEHICLE,200230734,01/23/2020,1401 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71609,-84.34985,
ROBBERY-COMMERCIAL,200230334,01/23/2020,3012 JONESBORO RD SE,313,South River Gardens,Z,33.67225,-84.37156,
AUTO THEFT,200231369,01/23/2020,1890 TELFAIR LN SW,410,Campbellton Road,R,33.70348,-84.45832,
AUTO THEFT,200230066,01/23/2020,631 HOLDERNESS ST SW,402,West End,T,33.73747,-84.42786,
AUTO THEFT,200230465,01/23/2020,2355 MACON DR SW,310,Browns Mill Park,Z,33.69017,-84.39117,
AUTO THEFT,200230535,01/23/2020,519 HARPER RD SE,310,Lakewood,Z,33.6967,-84.37198,
AUTO THEFT,200230851,01/23/2020,2191 COLLEGE AVE NE,610,Kirkwood,O,33.76439,-84.31528,
AUTO THEFT,200231069,01/23/2020,505 PHARR RD NE,206,Garden Hills,B,33.83653,-84.37167,
AUTO THEFT,200231247,01/23/2020,3657 PEACHTREE RD NE,210,Ridgedale Park,B,33.85398,-84.35628,
AUTO THEFT,200231804,01/23/2020,875 YORK AVE SW,401,West End,T,33.73745,-84.41644,
AUTO THEFT,200231884,01/23/2020,I-285 NB EXPY SW / ARTHUR LANGFORD EB PKWY SW,411,Southwest,R,33.69168,-84.49996,
AUTO THEFT,200232139,01/23/2020,510 CASANOVA ST SE,305,Chosewood Park,Y,33.71641,-84.3712,
AUTO THEFT,200232441,01/23/2020,615 SPRING ST NW,505,Midtown,E,33.77145,-84.38874,
AGG ASSAULT,200230464,01/23/2020,3787 BAKERS FERRY RD SW,407,Adamsville,H,33.76043,-84.51393,
BURGLARY-RESIDENCE,200230882,01/23/2020,1754 SHIRLEY ST SW,404,Westwood Terrace,I,33.73667,-84.45017,
BURGLARY-RESIDENCE,200231184,01/23/2020,932 REDFORD DR SE,308,Rebel Valley Forest,Z,33.68903,-84.35909,
BURGLARY-RESIDENCE,200231495,01/23/2020,2799 TUPELO ST SE,611,East Lake,O,33.74843,-84.29532,
BURGLARY-RESIDENCE,200231618,01/23/2020,3901 CAMPBELLTON RD SW,412,Kings Forest,P,33.69231,-84.51621,
BURGLARY-NONRES,200231757,01/23/2020,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.7005,-84.46574,
BURGLARY-RESIDENCE,200231869,01/23/2020,499 NORTHSIDE CIR NW,207,Loring Heights,E,33.79742,-84.40671,
BURGLARY-NONRES,200220071,01/22/2020,1241 MORELAND AVE SE @SUNSHINE PLAZA SC,607,Woodland Hills,W,33.72055,-84.35045,
BURGLARY-RESIDENCE,200221259,01/22/2020,690 FRASER ST SE,304,Summerhill,V,33.73586,-84.38612,
BURGLARY-RESIDENCE,200220089,01/22/2020,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262,
BURGLARY-RESIDENCE,200220529,01/22/2020,941 RIDGE AVE NW,109,Carey Park,G,33.78063,-84.46973,
BURGLARY-RESIDENCE,200220736,01/22/2020,984 LOOKOUT AVE NW,109,Almond Park,G,33.78161,-84.46638,
AGG ASSAULT,200220348,01/22/2020,1844 HONEYSUCKLE LN SW,410,Campbellton Road,R,33.70656,-84.45365,
AGG ASSAULT,200220806,01/22/2020,3548 ROSWELL RD NW,206,South Tuxedo Park,B,33.85205,-84.38317,
AGG ASSAULT,200222316,01/22/2020,3330 PIEDMONT RD NE,208,Buckhead Forest,B,33.84621,-84.37277,
AUTO THEFT,200220428,01/22/2020,2125 SOUTHWOOD CV SW,412,Ben Hill Terrace,P,33.69653,-84.51827,
AUTO THEFT,200220481,01/22/2020,3921 KENNER DR SW,407,Adamsville,H,33.75535,-84.50856,
AUTO THEFT,200220813,01/22/2020,3760 SOUTHSIDE INDUSTRIAL PKWY SE,313,Blair Villa/Poole Creek,Z,33.65369,-84.37433,
AUTO THEFT,200221327,01/22/2020,2555 BOLTON RD NW ,201,,C,33.82028,-84.45188,
AUTO THEFT,200221634,01/22/2020,3030 HEADLAND DR SW,411,Greenbriar,R,33.68841,-84.48742,
AUTO THEFT,200222031,01/22/2020,615 SPRING ST NW,505,Midtown,E,33.77145,-84.38874,
AUTO THEFT,200222108,01/22/2020,1891 JOHNSON RD NW @APS BOYD ES,110,Rockdale,G,33.78579,-84.44924,
AUTO THEFT,200222122,01/22/2020,1678 HOWELL MILL RD NW,204,Underwood Hills,D,33.79991,-84.41625,
ROBBERY-PEDESTRIAN,200222050,01/22/2020,1294 DONNELLY AVE SW,402,West End,T,33.73453,-84.43003,
LARCENY-NON VEHICLE,200220919,01/22/2020,130 26TH ST NW,207,Brookwood,E,33.80201,-84.39791,
LARCENY-NON VEHICLE,200221723,01/22/2020,261 19TH ST NW,501,Atlantic Station,E,33.79371,-84.39677,
LARCENY-NON VEHICLE,200220904,01/22/2020,1600 ELLSWORTH INDUSTRIAL BLVD NW,103,Blandtown,D,33.79826,-84.42811,
LARCENY-NON VEHICLE,200220932,01/22/2020,668 SHELTON AVE SW,301,Adair Park,V,33.73432,-84.4096,
LARCENY-NON VEHICLE,200221205,01/22/2020,2161 MORELAND AVE SE,308,Norwood Manor,Z,33.69498,-84.35195,
LARCENY-NON VEHICLE,200221227,01/22/2020,818 REGAL LN SW,407,Mays,H,33.74622,-84.50133,
LARCENY-NON VEHICLE,200220552,01/22/2020,226 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.73675,-84.39489,
LARCENY-NON VEHICLE,200220733,01/22/2020,2045 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.7774,-84.45214,
LARCENY-NON VEHICLE,200221075,01/22/2020,2275 MARIETTA BLVD NW,201,,C,33.81979,-84.45051,
LARCENY-NON VEHICLE,200221580,01/22/2020,3440 PEACHTREE RD NE,208,North Buckhead,B,33.85166,-84.36235,
LARCENY-NON VEHICLE,200221988,01/22/2020,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.75735,-84.50282,
LARCENY-NON VEHICLE,200222264,01/22/2020,2178 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70514,-84.45947,
LARCENY-FROM VEHICLE,200220224,01/22/2020,124 MITCHELL ST SW,512,Downtown,M,33.7503,-84.39208,
LARCENY-FROM VEHICLE,200220301,01/22/2020,165 COURTLAND ST NE,510,Downtown,M,33.75895,-84.3834,
LARCENY-FROM VEHICLE,200220346,01/22/2020,308 N COLONIAL HOMES CIR NW,205,Colonial Homes,C,33.81452,-84.39725,
LARCENY-FROM VEHICLE,200220361,01/22/2020,333 NELSON ST SW,507,Castleberry Hill,M,33.75158,-84.39883,
LARCENY-FROM VEHICLE,200220420,01/22/2020,700 MCGRUDER ST NE,604,Old Fourth Ward,M,33.7586,-84.36513,
LARCENY-FROM VEHICLE,200220503,01/22/2020,1122 AUSTIN AVE NE,603,Inman Park,N,33.76203,-84.35108,
LARCENY-FROM VEHICLE,200220516,01/22/2020,379 ATWOOD ST SW,401,West End,T,33.74465,-84.42887,
LARCENY-FROM VEHICLE,200220539,01/22/2020,777 MEMORIAL DR SE,606,Reynoldstown,N,33.74629,-84.36037,
LARCENY-FROM VEHICLE,200220622,01/22/2020,712 DURANT PL NE,614,Midtown,E,33.77445,-84.37583,
LARCENY-FROM VEHICLE,200220649,01/22/2020,1371 CASCADE FALLS DR SW,409,Cascade Heights,I,33.71885,-84.49744,
LARCENY-FROM VEHICLE,200220669,01/22/2020,215 NORTH AVE NE,603,Old Fourth Ward,M,33.77117,-84.38025,
LARCENY-FROM VEHICLE,200220673,01/22/2020,2765 BONNYBROOK DR SW,411,Greenbriar,R,33.69446,-84.47913,
LARCENY-FROM VEHICLE,200220783,01/22/2020,457 PATTERSON AVE SE,612,East Atlanta,W,33.74143,-84.34318,
LARCENY-FROM VEHICLE,200220897,01/22/2020,1173 SYLVAN RD SW,301,Oakland City,S,33.72297,-84.41832,
LARCENY-FROM VEHICLE,200221007,01/22/2020,3635 SOUTHSIDE INDUSTRIAL PKWY SE,313,Blair Villa/Poole Creek,Z,33.65488,-84.37561,
LARCENY-FROM VEHICLE,200221210,01/22/2020,3335 MARTIN LUTHER KING JR DR,111,Carver Hills,G,33.79968,-84.46573,
LARCENY-FROM VEHICLE,200221287,01/22/2020,250 GEORGIA AVE SE @GA HILL,605,Grant Park,W,33.73682,-84.37945,
LARCENY-FROM VEHICLE,200221297,01/22/2020,100 BISCAYNE DR NW,205,,C,33.81524,-84.3937,
LARCENY-FROM VEHICLE,200221513,01/22/2020,1122 OLD CHATTAHOOCHEE AVE NW,103,Blandtown,D,33.79995,-84.42484,
LARCENY-FROM VEHICLE,200221599,01/22/2020,826 MARIETTA,504,Marietta Street Artery,E,33.77477,-84.4067,
LARCENY-FROM VEHICLE,200221631,01/22/2020,1098 ADA AVE NW,109,Almond Park,G,33.78371,-84.46327,
LARCENY-FROM VEHICLE,200221640,01/22/2020,3221 PEACHTREE RD NE,206,Buckhead Village,B,33.84218,-84.37344,
LARCENY-FROM VEHICLE,200221826,01/22/2020,400 PHARR RD NE,206,Buckhead Village,B,33.8371,-84.3747,
LARCENY-FROM VEHICLE,200221913,01/22/2020,1738 MACARTHUR BLVD NW,103,Bolton,D,33.81326,-84.4448,
LARCENY-FROM VEHICLE,200221929,01/22/2020,2011 BOLTON RD NW,103,Riverside,D,33.81076,-84.47691,
LARCENY-FROM VEHICLE,200221968,01/22/2020,549 PEACHTREE ST NE,509,Downtown,M,33.76949,-84.38484,
LARCENY-FROM VEHICLE,200222105,01/22/2020,1019 COLLIER RD NW,204,,C,33.81187,-84.42057,
LARCENY-FROM VEHICLE,200222112,01/22/2020,1039 GRANT ST SE,605,Grant Park,W,33.72548,-84.37731,
LARCENY-FROM VEHICLE,200222131,01/22/2020,1950 HOWELL MILL RD NW,205,Wildwood (NPU-C),C,33.80838,-84.41356,
LARCENY-FROM VEHICLE,200222205,01/22/2020,207  PEACHTREE CENTER AVE  ,508,Downtown,M,33.76099,-84.38756,
LARCENY-FROM VEHICLE,200222288,01/22/2020,123 MARIETTA ST NW,508,Downtown,M,33.75767,-84.39266,
LARCENY-FROM VEHICLE,200222291,01/22/2020,633 PARKWAY DR NE,603,Old Fourth Ward,M,33.77163,-84.37267,
LARCENY-FROM VEHICLE,200222297,01/22/2020,893 PEACHTREE ST NE @BULLDOG,505,Midtown,E,33.77901,-84.38403,
LARCENY-FROM VEHICLE,200222308,01/22/2020,250 PARK AVENUE WEST NW @CENTENNIAL PARK WEST,508,Downtown,M,33.76116,-84.39438,
LARCENY-FROM VEHICLE,200222348,01/22/2020,1790 HOWELL MILL RD NW,204,Underwood Hills,D,33.80352,-84.41455,
LARCENY-FROM VEHICLE,200222360,01/22/2020,909 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77347,-84.35767,
LARCENY-FROM VEHICLE,200222370,01/22/2020,255 OTTLEY DR NE,212,,E,33.81081,-84.37843,
LARCENY-FROM VEHICLE,200222395,01/22/2020,985 MONROE DR NE,614,Midtown,E,33.78135,-84.36828,
LARCENY-NON VEHICLE,200221959,01/22/2020,675 PONCE DE LEON AVE NE @PONCE CITY MARKET,603,Old Fourth Ward,M,33.77296,-84.36504,
LARCENY-FROM VEHICLE,200221041,01/22/2020,2980 METROPOLITAN PKWY SW,311,Hammond Park,X,33.67368,-84.40804,
LARCENY-NON VEHICLE,200220518,01/22/2020,275 BAKER ST NW,508,Downtown,M,33.76206,-84.39568,
LARCENY-NON VEHICLE,200221462,01/22/2020,881 INMAN VILLAGE PKWY NE,602,Inman Park,N,33.76042,-84.36004,
LARCENY-FROM VEHICLE,200210886,01/21/2020,370 NORTHSIDE DR NW,506,English Avenue,L,33.76507,-84.4042,
LARCENY-FROM VEHICLE,200210905,01/21/2020,2497 BROWNS MILL RD SE,310,Browns Mill Park,Z,33.68617,-84.37914,
LARCENY-FROM VEHICLE,200210977,01/21/2020,99 BROWN AVE SE,305,South Atlanta,Y,33.71352,-84.38499,
LARCENY-NON VEHICLE,200211200,01/21/2020,387 BRENTWOOD DR NE,206,Garden Hills,B,33.83129,-84.3749,
LARCENY-FROM VEHICLE,200210108,01/21/2020,1905 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.8097,-84.36553,
LARCENY-FROM VEHICLE,200210235,01/21/2020,180 TED TURNER DR SW,512,Downtown,M,33.74958,-84.39736,
LARCENY-FROM VEHICLE,200210299,01/21/2020,3410 ALEXANDER CIR NE,209,North Buckhead,B,33.85525,-84.3659,
LARCENY-FROM VEHICLE,200210379,01/21/2020,1050 DONALD LEE HOLLOWELL PKWY NW,106,Bankhead,K,33.77289,-84.42183,
LARCENY-FROM VEHICLE,200210401,01/21/2020,452 EUCLID TER NE,608,Candler Park,N,33.76667,-84.34715,
LARCENY-FROM VEHICLE,200210429,01/21/2020,1856 WELLS DR SW,409,Southwest,R,33.70387,-84.46832,
LARCENY-FROM VEHICLE,200210487,01/21/2020,429 CARTER AVE SE,611,,O,33.73775,-84.30426,
LARCENY-FROM VEHICLE,200210981,01/21/2020,156 FORSYTH ST SW,512,Downtown,M,33.75017,-84.39515,
LARCENY-FROM VEHICLE,200211376,01/21/2020,595 RALPH D ABERNATHY BLVD SW,303,Pittsburgh,V,33.73796,-84.40707,
LARCENY-FROM VEHICLE,200211532,01/21/2020,956 MAYSON TURNER RD NW,105,Washington Park,K,33.75897,-84.41842,
LARCENY-FROM VEHICLE,200211626,01/21/2020,800 CHEROKEE AVE SE,605,Grant Park,W,33.7326,-84.37352,
LARCENY-FROM VEHICLE,200211639,01/21/2020,1016 HOWELL MILL RD NW,501,Home Park,E,33.78183,-84.41244,
LARCENY-FROM VEHICLE,200211690,01/21/2020,215 W WIEUCA RD NE,209,North Buckhead,B,33.87645,-84.37916,
LARCENY-FROM VEHICLE,200211699,01/21/2020,500 10TH ST NE @BELTLINE BUSINESS,502,,E,33.78223,-84.36922,
LARCENY-FROM VEHICLE,200211781,01/21/2020,1594 WESTWOOD AVE SW,404,Westview,T,33.73829,-84.43996,
LARCENY-FROM VEHICLE,200211963,01/21/2020,3186 ROSWELL RD NW,206,South Tuxedo Park,B,33.84222,-84.37926,
LARCENY-FROM VEHICLE,200211964,01/21/2020,1198 HOWELL MILL RD NW,103,Blandtown,D,33.78703,-84.41185,
LARCENY-FROM VEHICLE,200212063,01/21/2020,1678 HOWELL MILL RD NW,204,Underwood Hills,D,33.79991,-84.41625,
LARCENY-FROM VEHICLE,200212217,01/21/2020,1737 ELLSWORTH INDUSTRIAL BLVD NW,204,Underwood Hills,D,33.80233,-84.4264,
LARCENY-FROM VEHICLE,200212234,01/21/2020,474 SUNSET AVE NW,506,English Avenue,L,33.76763,-84.41,
LARCENY-FROM VEHICLE,200212281,01/21/2020,1700 NORTHSIDE DR NW,207,Berkeley Park,D,33.80077,-84.40869,
LARCENY-FROM VEHICLE,200212329,01/21/2020,1176 CHATTAHOOCHEE AVE NW,103,Blandtown,D,33.80058,-84.42561,
LARCENY-FROM VEHICLE,200212333,01/21/2020,275 10TH ST NE,503,Midtown,E,33.78169,-84.37842,
LARCENY-FROM VEHICLE,200212370,01/21/2020,1919 METROPOLITAN PKWY,306,Sylvan Hills,X,33.70278,-84.41017,
LARCENY-FROM VEHICLE,200212390,01/21/2020,154 KROG ST NE @Multiple,602,Inman Park,N,33.75885,-84.364,
LARCENY-NON VEHICLE,200212311,01/21/2020,2784 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.77927,-84.47996,
LARCENY-NON VEHICLE,200212550,01/21/2020,1801 HOWELL MILL RD,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,200210785,01/21/2020,3393 PEACHTREE RD,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,200210834,01/21/2020,3050 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75177,-84.4857,
LARCENY-NON VEHICLE,200211268,01/21/2020,260 18TH ST NW,501,Atlantic Station,E,33.79232,-84.39735,
LARCENY-NON VEHICLE,200211385,01/21/2020,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.75735,-84.50282,
LARCENY-NON VEHICLE,200212225,01/21/2020,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-FROM VEHICLE,200212393,01/21/2020,1049 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77315,-84.35304,
LARCENY-FROM VEHICLE,200212401,01/21/2020,70 HOWARD ST NE,610,Kirkwood,O,33.75374,-84.32346,
LARCENY-FROM VEHICLE,200212421,01/21/2020,835 GLENDALE TER NE,614,Midtown,E,33.77731,-84.37632,
LARCENY-FROM VEHICLE,200212473,01/21/2020,758 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.77412,-84.36228,
LARCENY-FROM VEHICLE,200212474,01/21/2020,1055 LANIER BLVD NE,601,Virginia Highland,F,33.78337,-84.35244,
LARCENY-FROM VEHICLE,200212484,01/21/2020,1179 STATE ST,502,Home Park,E,33.78703,-84.39849,
LARCENY-FROM VEHICLE,200212488,01/21/2020,437 MEMORIAL DR SE,605,Grant Park,W,33.74669,-84.37309,
LARCENY-FROM VEHICLE,200212520,01/21/2020,740 RALPH MCGILL BLVD NE ,603,Old Fourth Ward,M,33.76681,-84.36338,
LARCENY-FROM VEHICLE,200212534,01/21/2020,125 5TH ST NE,505,Midtown,E,33.77594,-84.38325,
LARCENY-FROM VEHICLE,200212535,01/21/2020,2020 BOLTON RD NW,103,Riverside,D,33.81125,-84.47594,
LARCENY-FROM VEHICLE,200212569,01/21/2020,1245 GLENWOOD AVE SE,612,East Atlanta,W,33.74006,-84.3466,
LARCENY-NON VEHICLE,200211197,01/21/2020,143 COURTLAND ST NE,510,Downtown,M,33.75798,-84.38393,
LARCENY-NON VEHICLE,200211885,01/21/2020,1231 GLENWOOD AVE SE,612,East Atlanta,W,33.73984,-84.34733,
LARCENY-NON VEHICLE,200212257,01/21/2020,31 EDGEWOOD AVE SE,510,Downtown,M,33.7544,-84.38828,
ROBBERY-RESIDENCE,200210006,01/21/2020,1751 CAMPBELLTON RD SW,408,Venetian Hills,S,33.71167,-84.44491,
ROBBERY-RESIDENCE,200211771,01/21/2020,925 CANTERBURY RD NE,210,Pine Hills,B,33.8278,-84.3563,
AUTO THEFT,200190040,01/21/2020,550 MARTIN LUTHER KING JR DR,101,Atlanta University Center,T,33.75345,-84.40496,
AUTO THEFT,200212462,01/21/2020,268 PONCE DE LEON AVE NE,505,Midtown,E,33.77277,-84.37854,
AUTO THEFT,200210313,01/21/2020,1039 THOMASVILLE ESTATES WAY SE,308,Norwood Manor,Z,33.69427,-84.35473,
AUTO THEFT,200210743,01/21/2020,745 FOUNTAINHEAD LANE NE,211,Lindbergh/Morosgo,B,33.82064,-84.36324,
AUTO THEFT,200210989,01/21/2020,240 RENAISSANCE PKWY NE,603,Old Fourth Ward,M,33.76866,-84.37904,
AUTO THEFT,200211321,01/21/2020,1620 HOLLYWOOD RD NW,113,Scotts Crossing,G,33.79988,-84.47023,
AUTO THEFT,200211799,01/21/2020,886 WESTMORELAND CIR NW,110,West Highlands,G,33.78902,-84.45028,
AUTO THEFT,200212341,01/21/2020,1071 CHATTAHOOCHEE AVE NW,204,Underwood Hills,D,33.80147,-84.4223,
AUTO THEFT,200212408,01/21/2020,NORTHSIDE DR NW / DEERING RD NW,207,Loring Heights,E,33.79615,-84.40785,
AUTO THEFT,200212431,01/21/2020,650 PONCE DE LEON AVE NE @WHOLE FOODS - PONCE,614,Midtown,E,33.77469,-84.36561,
ROBBERY-COMMERCIAL,200211003,01/21/2020,240 PEACHTREE ST NW @WELLS FARGO BANK,508,Downtown,M,33.76056,-84.38835,
AGG ASSAULT,200212585,01/21/2020,1950 MAYWOOD PL NW,107,Grove Park,J,33.77198,-84.45175,
BURGLARY-RESIDENCE,200210596,01/21/2020,441 GRIFFIN ST NW,506,English Avenue,L,33.7667,-84.41099,
BURGLARY-RESIDENCE,200211434,01/21/2020,476 WILMER ST NE,603,Old Fourth Ward,M,33.76741,-84.36652,
BURGLARY-RESIDENCE,200211497,01/21/2020,2716 HEDGEWOOD DR NW,111,Westhaven,I,33.7572,-84.47653,
BURGLARY-RESIDENCE,200211938,01/21/2020,340 CANDLER PARK DR NE,608,Candler Park,N,33.76353,-84.33964,
BURGLARY-RESIDENCE,200212231,01/21/2020,786 FLAT SHOALS AVE SE,612,East Atlanta,W,33.73306,-84.33886,
BURGLARY-RESIDENCE,200212322,01/21/2020,253 AUBURN AVE NE,510,Downtown,M,33.75538,-84.37928,
BURGLARY-RESIDENCE,200212389,01/21/2020,3000 STONE HOGAN CONN SW,411,Greenbriar,R,33.67424,-84.49697,
BURGLARY-NONRES,200211081,01/21/2020,690 PAINES AVE NW,506,English Avenue,L,33.77367,-84.41474,
BURGLARY-NONRES,200200083,01/20/2020,1459 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71443,-84.35009,
BURGLARY-NONRES,200200946,01/20/2020,2247 CASCADE RD SW,406,Cascade Avenue/Road,S,33.72272,-84.46205,
BURGLARY-RESIDENCE,200200909,01/20/2020,7 VERNON RD NW,206,Peachtree Heights West,B,33.83001,-84.38963,
BURGLARY-RESIDENCE,200201708,01/20/2020,2769 ALPINE RD NE,206,Garden Hills,B,33.83032,-84.36834,
AGG ASSAULT,200201339,01/20/2020,2138 PRYOR RD SW,310,Polar Rock,Z,33.69617,-84.39891,
ROBBERY-PEDESTRIAN,200200297,01/20/2020,2098 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70645,-84.45715,
AGG ASSAULT,200200779,01/20/2020,3277 SAVILLE ST SW,414,Princeton Lakes,P,33.6626,-84.51738,
AGG ASSAULT,200201373,01/20/2020,70 HAMILTON E HOLMES DR NW ,111,Harland Terrace,I,33.7523,-84.46786,
AUTO THEFT,200200222,01/20/2020,262 PHARR RD NE,206,Buckhead Village,B,33.83732,-84.3786,
AUTO THEFT,200200313,01/20/2020,2425 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82131,-84.36736,
AUTO THEFT,200200419,01/20/2020,3960 WILDWOOD LAKE DR SW,407,Wildwood (NPU-H),H,33.74399,-84.51738,
AUTO THEFT,200200648,01/20/2020,2029 BROOKWOOD VALLEY CIR NE,207,,E,33.80976,-84.38927,
AUTO THEFT,200200703,01/20/2020,460 FELTON DR NE,603,Old Fourth Ward,M,33.76715,-84.37468,
AUTO THEFT,200201030,01/20/2020,3136 LATONA DR SW,312,Glenrose Heights,Z,33.66918,-84.3953,
AUTO THEFT,200201297,01/20/2020,3285 PEACHTREE RD NE @EMBASSY SUITES,208,Peachtree Park,B,33.84441,-84.36862,
AUTO THEFT,200201529,01/20/2020,230 AMAL DR SW,307,Betmar LaVilla,Y,33.70754,-84.39551,
AUTO THEFT,200201724,01/20/2020,3175 ROSWELL RD NE,208,Buckhead Forest,B,33.84175,-84.37832,
AUTO THEFT,200201786,01/20/2020,3340 PEACHTREE RD NE @TOWER PLACE,208,North Buckhead,B,33.84743,-84.37089,
AUTO THEFT,200191724,01/20/2020,365 CLEVELAND AVE SW,309,Glenrose Heights,Z,33.68009,-84.3942,
LARCENY-NON VEHICLE,200200486,01/20/2020,1781 PEACHTREE ST NE,207,Brookwood Hills,E,33.80358,-84.3927,
LARCENY-NON VEHICLE,200200583,01/20/2020,1890 MYRTLE DR SW,410,Campbellton Road,R,33.70405,-84.45488,
LARCENY-NON VEHICLE,200200640,01/20/2020,1078 ARLINGTON AVE SW,403,Oakland City,S,33.72297,-84.4235,
LARCENY-NON VEHICLE,200200875,01/20/2020,1989 CHESHIRE BRIDGE RD NE,613,Morningside/Lenox Park,F,33.81073,-84.35806,
LARCENY-NON VEHICLE,200201084,01/20/2020,910 GATSON ST SW,402,Oakland City,S,33.73033,-84.43625,
LARCENY-NON VEHICLE,200201127,01/20/2020,163 HOLDERNESS ST SW,104,Ashview Heights,T,33.75017,-84.42663,
LARCENY-NON VEHICLE,200201556,01/20/2020,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-FROM VEHICLE,200200462,01/20/2020,37 CAMPBELLTON RD SW ,409,Southwest,R,33.69258,-84.49059,
LARCENY-FROM VEHICLE,200200509,01/20/2020,201 SPRINGDALE DR NE,211,Peachtree Hills,B,33.82172,-84.38086,
LARCENY-FROM VEHICLE,200200554,01/20/2020,3073 DAWSON LN SW,414,Princeton Lakes,P,33.67115,-84.50929,
LARCENY-FROM VEHICLE,200200565,01/20/2020,350 MARIETTA ST NW,507,Downtown,M,33.76268,-84.39715,
LARCENY-FROM VEHICLE,200200626,01/20/2020,2470 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82205,-84.35239,
LARCENY-FROM VEHICLE,200200793,01/20/2020,2900 LANDRUM DR SW,409,Southwest,R,33.70623,-84.48372,
LARCENY-FROM VEHICLE,200200906,01/20/2020,516 LEE ST SW,401,West End,T,33.74087,-84.41346,
LARCENY-FROM VEHICLE,200201101,01/20/2020,950 W PEACHTREE ST NW ,503,Midtown,E,33.78014,-84.38747,
LARCENY-FROM VEHICLE,200201174,01/20/2020,519 MEMORIAL DR SE,605,Grant Park,W,33.74615,-84.37083,
LARCENY-FROM VEHICLE,200201209,01/20/2020,46 PEACHTREE WAY NE,206,Peachtree Heights East,B,33.82774,-84.38607,
LARCENY-FROM VEHICLE,200201292,01/20/2020,360 PHARR RD NE,206,Buckhead Village,B,33.83752,-84.37574,
LARCENY-FROM VEHICLE,200201378,01/20/2020,2323 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.81825,-84.36695,
LARCENY-FROM VEHICLE,200201421,01/20/2020,1065 WASHITA AVE NE,602,Inman Park,N,33.76352,-84.353,
LARCENY-FROM VEHICLE,200201443,01/20/2020,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315,
LARCENY-FROM VEHICLE,200201444,01/20/2020,1845 PIEDMONT AVE NE,613,Morningside/Lenox Park,F,33.80622,-84.36626,
LARCENY-FROM VEHICLE,200201608,01/20/2020,708 SPRING ST NW,505,Midtown,E,33.77402,-84.3892,
